title,uploader,date,views,URL
“卧槽！音乐一响，多少人的青春回来了！”,百年影视馆,· 2021-02-19,4955.2万,//www.bilibili.com/video/BV1Kr4y1A7G7/
【红日】梁逸峰你朗诵这么屌你家里人知道吗？,吃素的狮子,· 2014-01-07,2405.1万,//www.bilibili.com/video/BV1Ss411o7vY/
《漫步人生路》教室粤语翻唱邓丽君经典曲目！,浅影阿_,· 2021-10-09,2150.1万,//www.bilibili.com/video/BV1Qq4y1R7Sg/
【4K60FPS】陈奕迅《富士山下》神级现场！你听懂了吗？,音乐私藏馆,· 2021-10-16,1773.2万,//www.bilibili.com/video/BV1H3411C7ZJ/
老鼠：讲国语得唔得啊？,杂货优痞,· 2021-06-23,1695.4万,//www.bilibili.com/video/BV1cf4y1b7SE/
【明月几时有】他真的，我哭死，捅我还叫我深呼吸！,哔哩哔哩放映员,· 2024-11-20,1432.4万,//www.bilibili.com/video/BV1rvUVYTENb/
求求你，别再刀了！B站陈奕迅《跳楼机》真.粤语版,不是词神,· 03-21,1395.3万,//www.bilibili.com/video/BV1daXrY2EPt/
那些出了省就乱来的美食！,粤知一二,· 2023-09-22,1365.5万,//www.bilibili.com/video/BV1d94y1p7zB/
各地新生开学有什么不同,粤知一二,· 2023-09-08,1323.2万,//www.bilibili.com/video/BV1M34y1M7JM/
【4K60FPS】陈慧娴《千千阙歌》最强音质版本！粤语史诗级神曲！,音乐私藏馆,· 2021-08-19,1305.4万,//www.bilibili.com/video/BV1EP4y1s7K3/
标准粤语，高手过招,这个网名里得带个龙字,· 2021-12-23,1132.7万,//www.bilibili.com/video/BV1xa41167gV/
在广东烧烤的崩溃瞬间,粤知一二,· 2022-01-15,1124.3万,//www.bilibili.com/video/BV1iL411c7Ww/
南方人在北方上学要注意什么？,粤知一二,· 2023-09-17,1119.5万,//www.bilibili.com/video/BV1x8411q7vf/
原来这些都是真的！,粤知一二,· 2023-07-02,1077.8万,//www.bilibili.com/video/BV1gV4y1a76o/
这些难道不是全国统一的吗？,粤知一二,· 2022-12-19,1030.7万,//www.bilibili.com/video/BV1PR4y1678g/
完整版广东普通话有多烫嘴,萝卜forever28,· 2020-06-27,1012.7万,//www.bilibili.com/video/BV1UK411n7F6/
【4K60FPS】李克勤《月半小夜曲》神级现场！粤语史诗级神曲！,音乐私藏馆,· 2021-08-21,1008.5万,//www.bilibili.com/video/BV14h411i7Uk/
【4K60FPS】古巨基《必杀技》神级现场！给前任的一首歌,音乐私藏馆,· 2022-06-16,977.8万,//www.bilibili.com/video/BV1t34y157Tk/
【还是觉得你最好】爱情不应该有偏见,哔哩哔哩放映员,· 2023-03-06,969.6万,//www.bilibili.com/video/BV1K54y1u7Zz/
各地人身上都有奇怪的bug,粤知一二,· 2023-10-01,914.5万,//www.bilibili.com/video/BV1g94y1h7mN/
【4K60FPS】陈奕迅《葡萄成熟时》神级现场！谁都心酸过,音乐私藏馆,· 2020-11-19,908万,//www.bilibili.com/video/BV1tv411r7Jf/
B站陈奕迅《嘉宾》真.粤语版，有种抱憾终生，名为做你嘉宾。,不是词神,· 2021-07-09,890.5万,//www.bilibili.com/video/BV1xV411W7uq/
这些不是全国统一的吗？,粤知一二,· 2022-09-23,880.9万,//www.bilibili.com/video/BV19N4y1N7Yj/
【C菌】寒假必看!国产恐怖游戏大作《港诡实录》实况【完结】(粤语语音),渗透之C君,· 2020-01-11,853.6万,//www.bilibili.com/video/BV1jJ411p7Q3/
【4K60FPS】陈奕迅“病态三部曲”神级现场！一次听个爽！,音乐私藏馆,· 2020-11-07,832万,//www.bilibili.com/video/BV1U54y1r76j/
这可能是有史以来最刺激的一场匹配！,C神降临了,· 2021-07-24,812万,//www.bilibili.com/video/BV1gM4y1T7DJ/
各地上学的奇怪习惯,粤知一二,· 2024-05-19,799.4万,//www.bilibili.com/video/BV1MT421S7qZ/
这可能是有史以来最粗暴的一血！（请勿模仿）,C神降临了,· 2021-07-08,783.1万,//www.bilibili.com/video/BV1NU4y137Um/
杨千嬅现场演唱《处处吻》太好听了，百听不厌！,圣wyh,· 2018-12-26,778万,//www.bilibili.com/video/BV1tt411C7nR/
“卧槽！这就是那个爆红全网的封神现场啊！”,百年影视馆,· 2021-02-14,771.4万,//www.bilibili.com/video/BV1uf4y1z7tQ/
各地博物馆的显眼包！,粤知一二,· 2023-08-25,766.7万,//www.bilibili.com/video/BV1Vu411E7Ed/
【私藏馆】张学友《饿狼传说》早期巅峰现场！歌神巅峰时期有多恐怖？,音乐私藏馆,· 2022-10-03,765.1万,//www.bilibili.com/video/BV17e4y1z7n7/
【李克勤 X 晚风心里吹】李氏唱腔飘进花海桃源，粤语清歌传颂飞花妙舞,梦幻西游电脑版,· 2023-01-02,761.5万,//www.bilibili.com/video/BV1h3411U7e1/
长辈刻在DNA里的东西,粤知一二,· 2024-05-05,758万,//www.bilibili.com/video/BV1Cm421H7Xt/
