title,uploader,date,views,html_attr.html_elements.cards...a.href...bilibili.com.video......
骁话一下：江苏状元会落榜清北？高考的问题不在分数,观察者网,· 2020-07-29,542.7万,//www.bilibili.com/video/BV1HD4y1U7wU/
南京凭什么做江苏省会？就凭一句话拿捏其他人！,叨叨傅吐槽秀,· 2022-05-05,282.7万,//www.bilibili.com/video/BV1J54y1f7NP/
骁话一下：散装江苏，有钱人的生活就是这么朴实无华且枯燥,观察者网,· 2020-02-22,254.8万,//www.bilibili.com/video/BV137411c7YC/
这世界上最遥远的距离，不是阴阳两隔，而是我们同为安徽人，你说的话我却听不懂，你吃的饭我也吃不惯,建国传奇纪录片,· 2023-07-24,133.8万,//www.bilibili.com/video/BV1W8411m7f8/
如何一句话让江苏十三市团结一致,星吧唧娱乐,· 2024-09-02,99.9万,//www.bilibili.com/video/BV1GYHCedE7u/
老王你太过分了，那么久都不来一次江苏！这句话在评论区亦有记载。,老王在中国,· 04-10,93.6万,//www.bilibili.com/video/BV1qzd3Y3EgX/
江苏·无锡：酒后一句话，竟牵扯出一起8年前的藏尸案,大理寺的驴,· 2023-11-20,66.8万,//www.bilibili.com/video/BV1CG411U7H6/
江苏网友发现一只河南信鸽，鸽子主人一句话让人感慨万分：杀了吧,小花猫观察员,· 2022-11-10,64.4万,//www.bilibili.com/video/BV1Re4y1x7Mx/
10月9日（发布）江苏，“不要吵了”小孩哥：我听话！，“熊孩子”高铁上吵闹被提醒3次仍不听，列车员上前一句话瞬间变乖,江南都市报,· 2024-10-10,62.7万,//www.bilibili.com/video/BV1oC2gYjEif/
垃圾话是和实力成正比的,军哥习惯过了头,· 2021-07-20,45.1万,//www.bilibili.com/video/BV1cq4y1s77T/
江苏70地方言演示，看看有没有你的家乡话,南通方言研究,· 2019-09-24,43.3万,//www.bilibili.com/video/BV1vJ411M7hh/
一句话团结江苏十三市🌝,鱼知年,· 2024-09-04,42.3万,//www.bilibili.com/video/BV1X1pce6E6V/
我联合了北京江苏顶尖高中的学霸——给新高三同学的一些话儿！！ | 血泪经验教训 |聊聊我的高三我的高考,-小碗小碗,· 2021-08-31,35.1万,//www.bilibili.com/video/BV1kq4y1K7q2/
这话什么意思？,叨叨傅吐槽秀,· 2021-03-26,34.8万,//www.bilibili.com/video/BV1HZ4y1A74v/
江苏90年代版八尺大人怪谈！吓坏全网的废弃酒店露营事件！深夜树林遇诡婴聚会！蜘蛛效应还能具象化吗？！【都市诡话——江苏篇】,狸狸垣上跑,· 06-13,29.7万,//www.bilibili.com/video/BV1xuMAzpEHu/
我看你们江苏也不咋样啊！,阿U烦不了,· 2021-06-11,25.6万,//www.bilibili.com/video/BV1N5411u7Nb/
