title,uploader,date,views,html_attr.html_elements.cards...a.href...bilibili.com.video......
当女朋友学四川话骂人,托马斯家的,· 2019-12-08,2644.8万,//www.bilibili.com/video/BV1VJ411v7Ss/
非洲小孩英语说不利索，但是说四川话秒变本地人,朔博国际汉教中心,· 2018-12-30,1007.3万,//www.bilibili.com/video/BV1Qt411z7vb/
会说中国话的外国猫,巢窠,· 2015-01-24,833.6万,//www.bilibili.com/video/BV1wx411A7ud/
和花听懂游客说话，气得扔竹子！,熊猫滚滚社区,· 2022-11-21,765.8万,//www.bilibili.com/video/BV1E84y1C7Fy/
猫和老鼠四川话版 假老练和风车车（有字幕）,不开不开我就不开,· 2021-08-16,645万,//www.bilibili.com/video/BV1tQ4y12761/
只要是四川话就零违和感【间谍过家家】,放飞自我的星辰,· 2022-04-23,644.3万,//www.bilibili.com/video/BV1iR4y1K7nD/
藏不住了，四川人说话自带英文,毛线我的天,· 2022-09-25,556.8万,//www.bilibili.com/video/BV1aB4y1J774/
一开口惊艳全场！成体2025新生开学典礼留学生代表张德发言，一口标准的普通话、四川话，自由切换。网友：比我说得还标准！,人民日报,· 09-16,553.7万,//www.bilibili.com/video/BV1GTp1zREcV/
颜值即正义！《美丽的逆贼》四川方言版,文西与阿漆,· 2023-04-09,546.7万,//www.bilibili.com/video/BV1f84y1T75M/
假如音效师是新手！警匪片活生生演成喜剧！哈哈哈~,文西与阿漆,· 2023-11-28,542万,//www.bilibili.com/video/BV1Y64y177f2/
太有才！猩猩教游客喂饮料，网友四川话翻译笑到喷饭！,腾讯搬运工,· 2020-05-16,507.4万,//www.bilibili.com/video/BV1s5411s7D5/
果然熊猫听得懂四川话,月亮邮递员_ed,· 2021-12-12,454.4万,//www.bilibili.com/video/BV1K34y197HZ/
熊猫能听懂四川话？熊猫吃饭被游客“批评”太浪费，大脸瞬间呆滞,娱乐王语嫣,· 2021-07-27,449.6万,//www.bilibili.com/video/BV1Kv411J7AC/
家里有只说四川话的猫是真的烦人！,冷水煮乐器,· 2020-01-20,385.8万,//www.bilibili.com/video/BV1H7411v71t/
刷《川味》给我馋哭了，今天试做一下家庭版毛血旺！,蚊子-学做美食,· 2023-07-30,385.7万,//www.bilibili.com/video/BV1ec411F7qt/
熊猫听懂四川话系列：熊猫听到开饭了跑得有多快,瓜子集,· 2021-07-21,380.6万,//www.bilibili.com/video/BV1p64y1t7C4/
如果阿柒说的是日语，他还会那么帅吗【刺客伍六七】刺客伍六七方言配音,普通评测,· 2020-01-04,346万,//www.bilibili.com/video/BV1GJ41177fk/
四川人教四川人说四川话,自来卷三木,· 2020-11-07,327.5万,//www.bilibili.com/video/BV1dp4y1k73H/
如果动物成精后开口说四川话会发生什么？！,狂风桑,· 2018-08-17,313.9万,//www.bilibili.com/video/BV1qW411X7Ji/
麻辣烫《耙耳朵的幸福生活》,5611次,· 2016-10-07,283.3万,//www.bilibili.com/video/BV1cs411474t/
搞笑沙雕配音：多年的老同学聚餐，攀比心太强，当场就闹翻了！,冬锅先森,· 2021-07-25,280.8万,//www.bilibili.com/video/BV1Ph411z7pY/
我不仅开口和你吵架，还要去学四川话把你吵赢！,狂风桑,· 2019-05-16,280.5万,//www.bilibili.com/video/BV1Q4411J72f/
四川一高校男生月评前叫嚣放话抽他！结果被安排的明明白白,小象视频TV,· 2021-12-02,279.8万,//www.bilibili.com/video/BV1pR4y1s7EQ/
【四川话唠蔡文姬】哥哥！躲雨！,啊脑袋_,· 2020-12-22,278.8万,//www.bilibili.com/video/BV1oK4y1L7S4/
怎么连裤子都偷啊？《美丽的小偷》四川方言版,文西与阿漆,· 2023-10-01,271.2万,//www.bilibili.com/video/BV1Fw411a72J/
假面骑士贞德，但是四川话配音,放飞自我的星辰,· 2022-04-08,260.3万,//www.bilibili.com/video/BV1144y1V7rB/
早期四川话作品,大丙搞笑配音,· 2024-04-11,258.3万,//www.bilibili.com/video/BV1YZ421e7Bg/
四川话骂人都这么可爱吗？ 抖音@托马斯家的,卧龙寺,· 2019-12-07,257.7万,//www.bilibili.com/video/BV1PJ411q7L1/
“有齿是鼠 无齿是鸭”,文西与阿漆,· 2023-06-07,257.1万,//www.bilibili.com/video/BV1Ms4y1v79M/
川渝霸总爱上我,SNAKE乌梢蛇,· 06-02,254.7万,//www.bilibili.com/video/BV11Q7SzkExQ/
四川人怎么都说不出普通话,给木木换绷带,· 2019-08-06,252.9万,//www.bilibili.com/video/BV1et411K7Zh/
《撒娇八连》川话版,一颗小兔娘,· 2022-12-07,252.1万,//www.bilibili.com/video/BV1SG4y1g7jq/
颜值即正义！《美丽的女仆》四川方言版,文西与阿漆,· 2023-07-28,248.8万,//www.bilibili.com/video/BV15k4y137HF/
四川人有多喜欢阴阳怪气,小小段砸,· 2024-03-08,244万,//www.bilibili.com/video/BV1sF4m1L7Mh/
我一个变态都觉得变态！《美丽的邻居》四川方言版,文西与阿漆,· 2024-01-14,241.6万,//www.bilibili.com/video/BV1J94y1M7hw/
【四川话翻唱】let it go（爬开啦）,FLAY工作室,· 2014-02-16,231.9万,//www.bilibili.com/video/BV1us411Z7CL/
【学四川话2】真的喜欢听你讲河南味儿的四川话...,托马斯家的,· 2019-12-08,231万,//www.bilibili.com/video/BV1LJ411v7yB/
抽烟？抽个屁！史上最沙雕的戒烟,文西与阿漆,· 2023-06-03,229.7万,//www.bilibili.com/video/BV1K8411Z7i9/
抗日神剧拍得越来越花了，女反派这审讯看得我一脸懵逼,文西与阿漆,· 2023-07-21,227.8万,//www.bilibili.com/video/BV1JF411X71E/
四川人的上班迟到理由，可谓秒杀全球！,甜甜的吾吾,· 2019-10-09,226.6万,//www.bilibili.com/video/BV15E411f7vx/
周 处 除 调 休,文西与阿漆,· 2024-04-28,226.3万,//www.bilibili.com/video/BV11J4m1E7x5/
家里家外 完整版,听花岛剧场,· 03-13,219.5万,//www.bilibili.com/video/BV1wWQNYWEgw/
