title,uploader,date,views,html_attr.html_elements.cards...a.href...bilibili.com.video......
绍兴话 百草园,绍兴小贵宁,· 2024-08-26,173.7万,//www.bilibili.com/video/BV1QYsjeQE7y/
浙江富婆三年前高调征婚，放话谁娶她送谁一辆宾利，现状过得如何,伤感娱乐说,· 2022-12-29,140万,//www.bilibili.com/video/BV16G4y1E7jA/
《方言大战》恶魔的语言—浙江话来了！最有难度的一集,小白打野,· 2023-12-20,128.9万,//www.bilibili.com/video/BV1xw41147Ld/
食品厂老板免费发放食物，女子插队多次伸手遭拦截，老板一句话太帅,云上视讯,· 2022-04-06,118.2万,//www.bilibili.com/video/BV193411H7P3/
江浙沪口音6级测试！这些江浙沪人民才懂的词你听得懂吗？,吴语协会,· 2024-12-15,112.6万,//www.bilibili.com/video/BV1FDqfYeECw/
满分作文“不说人话”，高考到底想选拔什么人才？,宋翔宇和江户川雨,· 2020-08-07,94.8万,//www.bilibili.com/video/BV1CZ4y1M7j2/
绍兴话晚饭我们吃什么,绍兴小贵宁,· 2024-07-26,88.6万,//www.bilibili.com/video/BV1jz421B7XA/
“我们求你来了吗？”一句话让浙江湖州高速，陷入全网舆论漩涡！,吐逗君丶,· 2024-05-22,71.9万,//www.bilibili.com/video/BV1Tr421L7U4/
《好想你》温州话版，甜美女声！超好听！！！温州的麦麦来猜猜MV中的都是那些地方？,M78星云的宇宙人,· 2016-01-07,69.7万,//www.bilibili.com/video/BV1Ms411R7RP/
东北小孩哥一句话让杭州文旅一年白干，西湖醋鱼真的很难吃吗？,爱看影视与综艺娱乐,· 2024-01-18,58.2万,//www.bilibili.com/video/BV1Zi4y1i71p/
数人打砸烧烤店并嚣张放话 ：叫派出所来！我们有20多人。警方回应：正在处理。,九派新闻,· 2022-07-20,57.2万,//www.bilibili.com/video/BV1p34y1J7Hn/
世界的尽头是浙江温州！留学生在巴黎偶遇埃及水果摊贩，开口就是温州话！,美丽浙江,· 2024-05-02,50万,//www.bilibili.com/video/BV12H4y1G7wh/
48岁东北司机“语出惊人”，一口浙江舟山方言推介衢山岛美景。,吴语协会,· 2024-08-05,47.5万,//www.bilibili.com/video/BV1zT42167Lk/
"1月4日，浙江。“妈妈不爱吃，你吃”，以前的父母VS现在的父母，网友：话没变，意思多少差点""有爱但不多 ""人类幼崽 ""亲妈果然是亲妈",永远的万事屋12,· 2024-01-08,47.4万,//www.bilibili.com/video/BV1BK4y1673y/
如何用一句话激怒浙江人,浙江最生活,· 2022-01-28,46万,//www.bilibili.com/video/BV1KL4y1x7AX/
害怕打疫苗独自出走的小女孩，见到民警第一句话：“我不要打针”,帮帮团V直播,· 2020-06-02,42.2万,//www.bilibili.com/video/BV1wT4y1J72A/
浙江小孩的噩梦 年糕 泡饭 汤圆 云贵川的兄们没事的话早点回浙江，我都快半个月没吃晚饭了,爱剪辑152,· 02-04,38.3万,//www.bilibili.com/video/BV1yENce7EB2/
3月6日，浙江宁波。火车上农民工大哥用脸盆泡面，一顿十袋泡面，“没干活，千活的话这都不够”。,中国网直播,· 2023-03-08,37.1万,//www.bilibili.com/video/BV13o4y1674g/
五猖庙很邪门吗？！井姑娘事件！遇鬼妓后苏小小救了我！孔雀大厦都市传说！温州六中秋游灵异相关辟谣！【都市诡话——浙江篇】,狸狸垣上跑,· 2024-08-19,35.2万,//www.bilibili.com/video/BV1Pi421a7JC/
小孩哥沉默的十秒，浙江文旅一年白干， 你们知道让一个东北小孩话掉地上这个问题有多严重吗？,账号已注销,· 2024-01-17,35万,//www.bilibili.com/video/BV16V411X7wJ/
孩子几句话浙江文旅一年白干，气势还得看东北人，自带幽默细胞,娱圈小学妹,· 2024-01-18,33.8万,//www.bilibili.com/video/BV1DK4y1q7cF/
浙江话与日本话，你来听一听,灵犀一解,· 2023-01-07,33.1万,//www.bilibili.com/video/BV1nK411y7mU/
浙江最难听懂的5大方言，最后一个“恶魔之语”,浙江最生活,· 2022-04-18,30.3万,//www.bilibili.com/video/BV1gY411774E/
《赤伶》上了杭州网和美丽浙江，好听的话我出完整版！,黑了一圈的小志,· 2022-10-29,29.7万,//www.bilibili.com/video/BV1ht4y1T79A/
听的懂人话，也看的懂暗号。回家了，今天住在江西，明天就能回到浙江,边牧陈贝拉,· 2023-01-24,29.4万,//www.bilibili.com/video/BV1Qs4y1x7EG/
浙江话能有多简洁（但是在绍兴）,绍兴小贵宁,· 2022-08-28,26.3万,//www.bilibili.com/video/BV1Qd4y1d7dh/
台州话,我是元老级,· 2021-12-21,26.2万,//www.bilibili.com/video/BV1ju411S7CR/
浙江版台州话、温州话、衢州话、杭州话、丽水话、嘉兴话、湖州话7地吴语方言对比，你们能听出差异吗？湖州话疑似是河南话,吴语协会,· 2024-05-05,25.1万,//www.bilibili.com/video/BV18m421W77Y/
【杂谈】聊聊不说人话的浙江高考满分作文写了个啥？,光道淑女,· 2020-08-04,23.7万,//www.bilibili.com/video/BV1MK411n7b5/
当北京人遇上浙江宁波话，一字一句仿佛被“加密”。看到最后，你猜出大爷想说的是啥了吗？,吴语协会,· 2024-05-19,23.3万,//www.bilibili.com/video/BV1Mt421u7ED/
听说你们江南人都喜欢反着说话？,Bildarchiv,· 2021-06-05,22.5万,//www.bilibili.com/video/BV1kV411x7u9/
本来觉得路人过分，直到我去搜了温州话。,鹰眼动画,· 01-10,21.9万,//www.bilibili.com/video/BV1hgcHezEjM/
浙江丽水，男孩用最恨的话提醒妈妈：“阳性刚好不敢洗澡的”！,民声面对面,· 2022-12-27,21.5万,//www.bilibili.com/video/BV1se4y1j7Pe/
